------------12:00------------------
[12:28:58] [127.0.0.1:49686] 241261
[12:29:08] [127.0.0.1:49686] 90701
[12:29:18] [127.0.0.1:49686] 789949
[12:29:28] [127.0.0.1:49686] 974083
[12:29:38] [127.0.0.1:49686] 366931
[12:29:48] [127.0.0.1:49686] 332766
[12:29:58] [127.0.0.1:49686] 231151
[12:30:08] [127.0.0.1:49686] 410002
------------12:00------------------
[12:34:33] [127.0.0.1:53708] TRANSMISSION START (2026-03-19T12:34:33)
[127.0.0.1:53708] 137731
[127.0.0.1:53708] 32594
[127.0.0.1:53708] 32083
[127.0.0.1:53708] 125101
[127.0.0.1:53708] 708476
[127.0.0.1:53708] 394685
[127.0.0.1:53708] 80074
[127.0.0.1:53708] 678333
[127.0.0.1:53708] 27815
[127.0.0.1:53708] 998116
[127.0.0.1:53708] 718726
[12:36:15] [127.0.0.1:53708] TRANSMISSION ERROR (ConnectionResetError: [WinError 10054] An existing connection was forcibly closed by the remote host)
[12:36:15] [127.0.0.1:53708] TRANSMISSION OFF (2026-03-19T12:36:15)
------------13:00------------------
[13:40:40] [127.0.0.1:50419] TRANSMISSION START (2026-03-19T13:40:40)
[127.0.0.1:55164] 2026-03-19 13:49:41.910556 - e
[127.0.0.1:55164] 2026-03-19 13:49:42.014585 - r
[127.0.0.1:55164] 2026-03-19 13:49:42.190455 - s
[127.0.0.1:55164] 2026-03-19 13:49:42.262113 - o
[127.0.0.1:55164] 2026-03-19 13:49:42.518483 - n
[127.0.0.1:55164] 2026-03-19 13:49:42.686795 - n
[127.0.0.1:55164] 2026-03-19 13:49:42.847756 - n
[127.0.0.1:55164] 2026-03-19 13:49:42.998260 - n
[127.0.0.1:55164] 2026-03-19 13:49:43.151580 - n
[127.0.0.1:55164] 2026-03-19 13:49:43.302539 - n
[127.0.0.1:55164] 2026-03-19 13:49:43.542866 - .
[127.0.0.1:55164] 2026-03-19 13:49:43.790998 - [Key.enter]
[127.0.0.1:55164] 2026-03-19 13:49:44.631352 - 
[127.0.0.1:55164] 2026-03-19 13:49:45.094825 - e
[127.0.0.1:55164] 2026-03-19 13:49:45.278146 - x
[127.0.0.1:55164] 2026-03-19 13:49:45.431461 - i
[127.0.0.1:55164] 2026-03-19 13:49:45.551014 - t
[127.0.0.1:55164] 2026-03-19 13:49:45.702960 - [Key.enter]
[127.0.0.1:55164] 2026-03-19 13:49:50.246843 - [Key.tab]
[127.0.0.1:55164] 2026-03-19 13:49:50.846976 - [Key.tab]
[127.0.0.1:55164] 2026-03-19 13:49:51.166659 - None
[127.0.0.1:55164] 2026-03-19 13:49:52.423391 - 
[13:49:53] [127.0.0.1:55164] TRANSMISSION OFF (2026-03-19T13:49:53)
